age;year;rank;ICD-2_code;underlying_cause;total_N;percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;6;32;Tuberculosis of the central nervous system;599;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;7;101b;Pneumonia (not otherwise specified);382;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;8;99a;Acute bronchitis;350;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;9;101a;Lobar pneumonia;302;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1925;10;99c,99d;Bronchitis not distinguished as acute or chronic;289;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;1;107;Broncho-pneumonia;1.003;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;2;10;Diphtheria;560;10,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;3;7;Measles;441;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;4;9;Whooping cough;407;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;5;24;Tuberculosis of the central nervous system;294;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;6;119,120a(2);Other diarrhoea and enteritis;204;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;7;108;Lobar pneumonia;193;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;8;181;Accidental burns (conflagration excepted);174;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;9;109;Pneumonia (not otherwise defined);130;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1935;10;186;Accidental injury by fall, crushing, etc.;129;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;1;107(2);Broncho-pneumonia without mention of influenza;380;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;2;14;Tuberculosis of the meninges and central nervous system;287;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;3;35;Measles;189;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;4;9;Whooping cough;162;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;5;181;Accidental burns (conflagration excepted)*;133;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;6;170c;Other motor vehicle accidents;116;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;7;10;Diphtheria;108;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;8;119a,;Enteritis and diarrhoea without mention of ulceration (<2yrs);77;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;9;13b;Tb. of the resp. system without mention of occupational disease of lung;74;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1945;10;108(2);Lobar pneumonia without mention of influenza;70;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;1;491;Bronchopneumonia;135;10,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;2;812;Motor vehicle traffic accident to pedestrian;78;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;3;754;Congenital malformations of circulatory system;76;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;4;204;Leukaemia and aleukaemia;75;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;5;85;Measles;52;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;6;916;Accident caused by fire and explosion of combustible material;48;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;7;751;Spina bifida and meningocele;35;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;8;571;Gastro-enteritis and colitis, except ulcerative, age 4 weeks and over;32;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;9;57;Meningococcal infections;31;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1955;10;193;Malignant neoplasm of brain and other parts of nervous system;26;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;1;491;Bronchopneumonia;167;13,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;2;812;Motor vehicle traffic accident to pedestrian;79;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;3;754;Congenital malformations of circulatory system;69;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;4;204;Leukaemia and aleukaemia;63;5,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;5;916;Accident caused by fire and explosion of combustible material;54;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;6;571;Gastro-enteritis and colitis, except ulcerative, age 4 weeks and over;40;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;7;193;Malignant neoplasm of brain and other parts of nervous system;34;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;8;751;Spina bifida and meningocele;33;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;9;500;Acute bronchitis;32;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1965;9;85;Measles;32;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;1;746;Congenital anomalies of heart;84;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;2;485;Bronchopneumonia, unspecified;37;5,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;3;814;Motor vehicle traffic accident involving collision with pedestrian;31;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;4;9;Diarrhoeal disease;23;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;5;204;Lymphatic leukaemia;20;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;5;741;Spina bifida;20;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;7;36;Meningococcal infection;18;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;8;910;Accidental drowning and submersion;16;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;9;890;Accident caused by conflagration in private dwelling;15;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;9;913;Accidental mechanical suffocation;15;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;9;345;Epilepsy;15;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1975;9;320;Meningitis;15;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;1;745;Bulbus cordis anomalies and anomalies of cardiac septal closure;49;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;2;746;Other congenital anomalies of heart;28;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;3;814;Motor vehicle traffic accident involving collision with pedestrian;19;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;4;798;Sudden death, cause unknown;14;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;5;890;Conflagration in private dwelling;13;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;5;36;Meningococcal infection;13;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;7;194;Malignant neoplasm of other endocrine glands and related structures;11;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;7;742;Other congenital anomalies of nervous system;11;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;9;425;Cardiomyopathy;10;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;9;191;Malignant neoplasm of brain;10;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1985;9;751;Other congenital anomalies of digestive system;10;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;1;36;Meningococcal infection;24;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;2;814;Motor vehicle traffic accident involving collision with pedestrian;15;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;3;746;Other congenital anomalies of heart;13;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;4;343;Infantile cerebral palsy;12;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;4;742;Other congenital anomalies of nervous system;12;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;6;485;Bronchopneumonia, organism unspecified;11;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;7;890;Conflagration in private dwelling;8;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;7;191;Malignant neoplasm of brain;8;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;7;239;Neoplasm of unspecified nature;8;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;10;425;Cardiomyopathy;7;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;10;330;Cerebral degenerations usually manifest in childhood;7;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;10;345;Epilepsy;7;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;1995;10;988;Injury by other or unspecified means, undetermined whether accidentally or purposely inflicted;7;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;1;A39;Meningococcal infection;11;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;2;E75;Disorders of sphingolipid metabolism and other lipid storage disorders;9;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;3;G80;Cerebral palsy;8;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;3;Q24;Other congenital malformations of heart;8;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;3;J18;Pneumonia organism unspecified;8;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;6;Q21;Congenital malformations of cardiac septa;7;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;6;C74;Malignant neoplasm of adrenal gland;7;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;6;R99;Other ill-defined and unspecified causes of mortality;7;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;6;Q91;Trisomy 18 and Trisomy 13;7;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;10;G00;Bacterial meningitis not elsewhere classified;5;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;10;G12;Spinal muscular atrophy and related syndromes;5;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2005;10;X00;Unintentional: fire/flames/hot objects;5;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;1;R99;Other ill-defined and unspecified causes of mortality;9;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;2;J98;Other respiratory disorders;7;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;3;I42;Cardiomyopathy;6;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;3;B34;Viral infection of unspecified site;6;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;5;G80;Cerebral palsy;5;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;5;U50;Coroner's verdict pending;5;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;5;E75;Disorders of sphingolipid metabolism and other lipid storage disorders;5;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;5;Q24;Other congenital malformations of heart;5;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;5;R96;Other sudden death cause unknown;5;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;10;I40;Acute myocarditis;4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;10;G40;Epilepsy;4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;10;C91;Lymphoid leukemia;4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;10;A41;Other septicaemia;4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;10;J18;Pneumonia organism unspecified;4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;10;A40;Streptococcal septicaemia;4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4 years;2015;10;J22;Unspecified acute lower respiratory infection;4;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;1;9A;Diphtheria;1.218;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;2;6;Measles;687;9,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;3;30;Tuberculous meningitis;493;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;4;91;Broncho-pneumonia;349;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;5;7;Scarlet fever;339;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;6;167;Burns (not conflagration);285;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;7;61C;Meningitis, other forms;233;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;8;92B;Pneumonia (type not stated);231;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;9;28A;Pulmonary tuberculosis;213;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1915;10;92A;Lobar pneumonia;179;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;1;10;Diphtheria;515;13,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;2;100;Broncho-pneumonia;242;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;3;32;Tuberculosis of the central nervous system;234;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;4;7;Measles;202;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;5;117;Appendicitis;150;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;6;31;Tuberculosis of the respiratory system;148;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;7;188;Accidental injury by other forms of crushing (road vehicles, etc);135;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;8;8;Scarlet fever;131;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;9;51;Rheumatic fever;119;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1925;10;101a;Lobar pneumonia;117;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;1;10;Diphtheria;797;27,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;2;186;Accidental injury by fall, crushing, etc.;173;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;3;24;Tuberculosis of the central nervous system;157;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;4;107;Broncho-pneumonia;118;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;5;56;Rheumatic fever;87;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;6;8;Scarlet fever;80;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;7;108;Lobar pneumonia;78;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;8;121;Appendicitis;77;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;9;7;Measles;70;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1935;10;115(3);Diseases of the tonsils;69;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;1;170c;Other motor vehicle accidents;159;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;2;14;Tuberculosis of the meninges and central nervous system;149;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;3;10;Diphtheria;132;9,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;4;181;Accidental burns (conflagration excepted)*;62;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;5;197;Deaths of civilians due to operations of war;58;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;6;121(1);Appendicitis without mention of intestinal obstruction;57;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;7;107(2);Broncho-pneumonia without mention of influenza;39;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;8;13b;Tb. of the resp. system without mention of occupational disease of lung;38;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;9;35;Measles;32;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;10;58b;Acute rheumatic endocarditis;28;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1945;10;157c;Congenital malformation of heart;28;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;1;812;Motor vehicle traffic accident to pedestrian;75;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;2;204;Leukaemia and aleukaemia;47;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;3;916;Accident caused by fire and explosion of combustible material;35;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;4;754;Congenital malformations of circulatory system;30;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;5;491;Bronchopneumonia;29;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;6;193;Malignant neoplasm of brain and other parts of nervous system;24;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;7;353;Epilepsy;17;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;8;929;Accidental drowning and submersion;16;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;9;237;Neoplasm of unspecified nature of brain and other parts of nervous system;13;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;10;550;Acute appendicitis;11;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;10;80;Acute poliomyelitis;11;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;10;180;Malignant neoplasm of kidney;11;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1955;10;10;Tuberculosis of meninges and central nervous system;11;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;1;812;Motor vehicle traffic accident to pedestrian;73;13,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;2;204;Leukaemia and aleukaemia;54;10,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;3;754;Congenital malformations of circulatory system;42;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;4;193;Malignant neoplasm of brain and other parts of nervous system;37;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;5;491;Bronchopneumonia;31;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;6;916;Accident caused by fire and explosion of combustible material;23;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;7;353;Epilepsy;12;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;8;929;Accidental drowning and submersion;11;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;8;587;Diseases of pancreas;11;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1965;8;816;Other motor vehicle traffic accident involving two or more motor vehicles;11;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;1;814;Motor vehicle traffic accident involving collision with pedestrian;54;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;2;746;Congenital anomalies of heart;35;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;3;204;Lymphatic leukaemia;32;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;4;273;Other and unspecified congenital disorders of metabolism;27;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;5;191;Malignant neoplasm of brain;23;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;6;485;Bronchopneumonia, unspecified;20;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;7;741;Spina bifida;16;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;8;205;Myeloid leukaemia;15;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;9;238;Neoplasm of unspecified nature of eye,brain and other parts of nervous system;9;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-9 years;1975;9;743;Other congenital anomalies of nervous system;9;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
